inferred_rank,impressions,engaged,engagement_rate,engagement_ci95_low,engagement_ci95_high,click_rate,scroll_deep_rate,save_bookmark_rate,return_visit_rate,median_dwell_engaged
1,813,196,0.24108241082410825,0.21294110993755813,0.2716590867223574,0.16359163591635917,0.07011070110701106,0.004920049200492005,0.0024600246002460025,19.0
2,813,162,0.1992619926199262,0.173246556520649,0.22810616596557112,0.12300123001230012,0.06396063960639606,0.012300123001230012,0.0,25.0
3,813,180,0.22140221402214022,0.19420922949793276,0.2512156851978908,0.13038130381303814,0.06888068880688807,0.015990159901599015,0.006150061500615006,27.0
4,813,163,0.2004920049200492,0.17440786024989302,0.22939331735908286,0.12423124231242312,0.05412054120541206,0.014760147601476014,0.007380073800738007,22.0
5,813,164,0.2017220172201722,0.1755695646709943,0.2306800680607373,0.12546125461254612,0.056580565805658053,0.017220172201722016,0.0024600246002460025,23.5
6,792,155,0.19570707070707072,0.16957212108837755,0.2247797197804587,0.11868686868686869,0.05808080808080808,0.013888888888888888,0.005050505050505051,29.0
7,679,142,0.20913107511045656,0.18021955554317948,0.2413153948757757,0.13402061855670103,0.060382916053019146,0.010309278350515464,0.004418262150220913,25.5
8,567,115,0.20282186948853614,0.17177494181127903,0.2378686440801486,0.12698412698412698,0.059964726631393295,0.014109347442680775,0.001763668430335097,20.0
9,456,98,0.2149122807017544,0.17967439222555323,0.2549135180461577,0.1337719298245614,0.06578947368421052,0.006578947368421052,0.008771929824561403,17.5
10,323,64,0.19814241486068113,0.15833093003532747,0.24504979016675202,0.14241486068111456,0.03715170278637771,0.015479876160990712,0.0030959752321981426,13.5
11,203,38,0.18719211822660098,0.13952650746931675,0.24647708175064673,0.10837438423645321,0.059113300492610835,0.014778325123152709,0.0049261083743842365,22.0
12,105,23,0.21904761904761905,0.15063031032976165,0.30729754078598814,0.1523809523809524,0.05714285714285714,0.009523809523809525,0.0,24.0
