protocol,split,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,train,relevance_grade,1,340,245,95,0.05,0.009195011337868481,0.04081632653061224,0.04081632653061224,0.027988338192419825,0.042156862745098035,0.01370748299319728,0.06938775510204082,0.053061224489795916,0.0227019228991753,0.03882352941176471,0.020089083252348556,0.08571428571428572,0.05693877551020408,0.022929281862640514,0.03441176470588236,0.03548914804016845,0.13877551020408163,0.06428733398121152,0.029072921564074178,0.035147058823529406,0.05646258503401361,0.19183673469387755,0.06788636091694156,0.03495881900458787
temporal,train,relevance_grade,2,340,207,133,0.05,0.0107085346215781,0.043478260869565216,0.043478260869565216,0.03312629399585921,0.042156862745098035,0.017002147074610844,0.07246376811594203,0.05555555555555555,0.026869425653613277,0.03882352941176471,0.019981213097155125,0.0821256038647343,0.057729468599033815,0.025057958928857645,0.03441176470588236,0.036578866651330415,0.13043478260869565,0.06439498504715896,0.03087516535971401,0.035147058823529406,0.04915267234107813,0.1642512077294686,0.06654677130234629,0.03533621518135094
temporal,train,conservative_relevance_grade,1,340,245,95,0.05,0.009195011337868481,0.04081632653061224,0.04081632653061224,0.025267249757045675,0.042156862745098035,0.01370748299319728,0.06938775510204082,0.053061224489795916,0.021936654113110274,0.03882352941176471,0.020089083252348556,0.08571428571428572,0.05693877551020408,0.022691737624258978,0.03441176470588236,0.03548914804016845,0.13877551020408163,0.06428733398121152,0.027867987410338843,0.035147058823529406,0.05646258503401361,0.19183673469387755,0.06788636091694156,0.03389877227000966
temporal,train,conservative_relevance_grade,2,340,168,172,0.05,0.010912698412698412,0.03571428571428571,0.03571428571428571,0.024943310657596373,0.042156862745098035,0.022023809523809525,0.06547619047619048,0.048611111111111105,0.025547942493594062,0.03882352941176471,0.023511904761904758,0.07142857142857142,0.049801587301587305,0.0248600700108987,0.03441176470588236,0.04107142857142857,0.10714285714285714,0.0544359410430839,0.029943985488087473,0.035147058823529406,0.05793650793650793,0.14285714285714285,0.056737109051488745,0.03565193031411332
temporal,train,event_hierarchy_relevance_grade,1,340,245,95,0.05,0.009195011337868481,0.04081632653061224,0.04081632653061224,0.02915451895043732,0.042156862745098035,0.01370748299319728,0.06938775510204082,0.053061224489795916,0.022206315335630535,0.03882352941176471,0.020089083252348556,0.08571428571428572,0.05693877551020408,0.023083207240083975,0.03441176470588236,0.03548914804016845,0.13877551020408163,0.06428733398121152,0.02864260013546781,0.035147058823529406,0.05646258503401361,0.19183673469387755,0.06788636091694156,0.034561739515454715
temporal,train,event_hierarchy_relevance_grade,2,340,146,194,0.05,0.010273972602739725,0.0273972602739726,0.0273972602739726,0.035225048923679066,0.042156862745098035,0.025342465753424654,0.06164383561643835,0.04223744292237443,0.029850146153707305,0.03882352941176471,0.027054794520547945,0.0684931506849315,0.04360730593607306,0.02926302614868566,0.03441176470588236,0.048401826484018265,0.1095890410958904,0.04893998695368559,0.034803517124277525,0.035147058823529406,0.06632420091324201,0.14383561643835616,0.05115982411404185,0.041184212934207536
temporal,validation,relevance_grade,1,139,113,26,0.03597122302158273,0.0,0.0,0.0,0.0,0.03836930455635492,0.018805309734513276,0.02654867256637168,0.008849557522123894,0.009275312211270531,0.03309352517985612,0.03274336283185841,0.061946902654867256,0.016371681415929203,0.014877382007956465,0.038129496402877695,0.06253687315634218,0.11504424778761062,0.023507515100435455,0.023995896344786643,0.033093525179856115,0.06651917404129794,0.12389380530973451,0.02394999297654165,0.025919551925501418
temporal,validation,relevance_grade,2,139,101,38,0.03597122302158273,0.0,0.0,0.0,0.0,0.03836930455635492,0.009900990099009901,0.009900990099009901,0.0033003300330033,0.005426834454193761,0.03309352517985612,0.02805280528052805,0.039603960396039604,0.009240924092409241,0.011694496701971095,0.038129496402877695,0.0528052805280528,0.06930693069306931,0.013484205563413485,0.0218963988808009,0.033093525179856115,0.05808580858085808,0.0891089108910891,0.014766924928467397,0.024048607599818417
temporal,validation,conservative_relevance_grade,1,139,113,26,0.03597122302158273,0.0,0.0,0.0,0.0,0.03836930455635492,0.018805309734513276,0.02654867256637168,0.008849557522123894,0.009275312211270531,0.03309352517985612,0.03274336283185841,0.061946902654867256,0.016371681415929203,0.014389212902631537,0.038129496402877695,0.06253687315634218,0.11504424778761062,0.023507515100435455,0.023655804778330746,0.033093525179856115,0.06651917404129794,0.12389380530973451,0.02394999297654165,0.025686844324741564
temporal,validation,conservative_relevance_grade,2,139,79,60,0.03597122302158273,0.0,0.0,0.0,0.0,0.03836930455635492,0.0,0.0,0.0,0.0006089908844755682,0.03309352517985612,0.006329113924050633,0.012658227848101266,0.002531645569620253,0.0030269398830736955,0.038129496402877695,0.03164556962025317,0.0379746835443038,0.006148282097649186,0.014038149948516265,0.033093525179856115,0.0390295358649789,0.06329113924050633,0.0077882144504396325,0.016943307780724143
temporal,validation,event_hierarchy_relevance_grade,1,139,113,26,0.03597122302158273,0.0,0.0,0.0,0.0,0.03836930455635492,0.018805309734513276,0.02654867256637168,0.008849557522123894,0.0096700566269741,0.03309352517985612,0.03274336283185841,0.061946902654867256,0.016371681415929203,0.01570551059576972,0.038129496402877695,0.06253687315634218,0.11504424778761062,0.023507515100435455,0.0249053357680452,0.033093525179856115,0.06651917404129794,0.12389380530973451,0.02394999297654165,0.02669708067857902
temporal,validation,event_hierarchy_relevance_grade,2,139,76,63,0.03597122302158273,0.0,0.0,0.0,0.0,0.03836930455635492,0.0,0.0,0.0,0.0012199526164220168,0.03309352517985612,0.006578947368421052,0.013157894736842105,0.002631578947368421,0.005103551185361008,0.038129496402877695,0.03289473684210526,0.039473684210526314,0.006390977443609023,0.016450142733822608,0.033093525179856115,0.04276315789473684,0.06578947368421052,0.008095643968220144,0.019114184508695262
temporal,test,relevance_grade,1,139,110,29,0.02158273381294964,0.0018181818181818182,0.00909090909090909,0.00909090909090909,0.003896103896103896,0.03597122302158273,0.006363636363636363,0.01818181818181818,0.012121212121212121,0.006793830778162709,0.031654676258992806,0.009015151515151514,0.03636363636363636,0.016212121212121212,0.008340972023324969,0.02877697841726619,0.016085858585858585,0.06363636363636363,0.020162337662337663,0.010211669509839698,0.02841726618705036,0.0471969696969697,0.1,0.022743506493506496,0.01772340102998492
temporal,test,relevance_grade,2,139,96,43,0.02158273381294964,0.0026041666666666665,0.010416666666666666,0.010416666666666666,0.004464285714285714,0.03597122302158273,0.013020833333333334,0.020833333333333332,0.013888888888888888,0.00778459776664477,0.031654676258992806,0.015625,0.03125,0.01597222222222222,0.009557363776726528,0.02877697841726619,0.02291666666666667,0.052083333333333336,0.01919642857142857,0.011700871313357987,0.02841726618705036,0.04583333333333334,0.07291666666666667,0.020541914682539682,0.01764183425508881
temporal,test,conservative_relevance_grade,1,139,110,29,0.02158273381294964,0.0018181818181818182,0.00909090909090909,0.00909090909090909,0.003896103896103896,0.03597122302158273,0.006363636363636363,0.01818181818181818,0.012121212121212121,0.006793830778162709,0.031654676258992806,0.009015151515151514,0.03636363636363636,0.016212121212121212,0.007779525304001856,0.02877697841726619,0.016085858585858585,0.06363636363636363,0.020162337662337663,0.01067837645553201,0.02841726618705036,0.0471969696969697,0.1,0.022743506493506496,0.01823037771247278
temporal,test,conservative_relevance_grade,2,139,76,63,0.02158273381294964,0.0043859649122807015,0.013157894736842105,0.013157894736842105,0.005639097744360902,0.03597122302158273,0.017543859649122806,0.02631578947368421,0.017543859649122806,0.009833176126288132,0.031654676258992806,0.021929824561403508,0.039473684210526314,0.020175438596491225,0.011259839255792159,0.02877697841726619,0.031140350877192982,0.06578947368421052,0.02424812030075188,0.015455544869848962,0.02841726618705036,0.060087719298245613,0.09210526315789473,0.025947681704260653,0.023018204257397246
temporal,test,event_hierarchy_relevance_grade,1,139,110,29,0.02158273381294964,0.0018181818181818182,0.00909090909090909,0.00909090909090909,0.003896103896103896,0.03597122302158273,0.006363636363636363,0.01818181818181818,0.012121212121212121,0.0066591933800370815,0.031654676258992806,0.009015151515151514,0.03636363636363636,0.016212121212121212,0.008361501279082351,0.02877697841726619,0.016085858585858585,0.06363636363636363,0.020162337662337663,0.010777285259596831,0.02841726618705036,0.0471969696969697,0.1,0.022743506493506496,0.01862003135488886
