protocol,split,configuration,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,validation,phase12_baseline,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.03597122302158273,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.03309352517985612,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.030215827338129497,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03146380400033533,0.02877697841726619,0.07389380530973451,0.12389380530973451,0.03465105806334333,0.0377562487860975
temporal,validation,phase12_baseline,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.03597122302158273,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.03309352517985612,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.030215827338129497,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.031054012331314385,0.02877697841726619,0.07389380530973451,0.12389380530973451,0.03465105806334333,0.03753449278961225
temporal,validation,phase12_baseline,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.03597122302158273,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024546648125704375,0.03309352517985612,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024242076282001163,0.030215827338129497,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03162587204389469,0.02877697841726619,0.07389380530973451,0.12389380530973451,0.03465105806334333,0.03857469312247562
temporal,validation,phase12_baseline,relevance_grade,2,139,101,38,0.02158273381294964,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.03597122302158273,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027522062008953418,0.03309352517985612,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027346786700108858,0.030215827338129497,0.04702970297029703,0.0594059405940594,0.030567342448530564,0.03207866312130855,0.02877697841726619,0.07178217821782178,0.0891089108910891,0.0323000157158573,0.03911872510933949
temporal,validation,selected_cross_encoder,relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.03597122302158273,0.030530973451327437,0.04424778761061947,0.017699115044247787,0.017697076104129267,0.03597122302158274,0.03348082595870206,0.05309734513274336,0.019469026548672563,0.020503944070725696,0.03453237410071943,0.05634218289085546,0.09734513274336283,0.02481387835370136,0.02723194772939934,0.033453237410071945,0.0760921477735637,0.1504424778761062,0.02804412892908468,0.033735233779757616
temporal,validation,selected_cross_encoder,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.03597122302158273,0.030530973451327437,0.04424778761061947,0.017699115044247787,0.017207001917324317,0.03597122302158274,0.03348082595870206,0.05309734513274336,0.019469026548672563,0.01994997192697869,0.03453237410071943,0.05634218289085546,0.09734513274336283,0.02481387835370136,0.0270831912633431,0.033453237410071945,0.0760921477735637,0.1504424778761062,0.02804412892908468,0.03465871816807827
temporal,validation,selected_cross_encoder,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.03597122302158273,0.030530973451327437,0.04424778761061947,0.017699115044247787,0.01773394478827183,0.03597122302158274,0.03348082595870206,0.05309734513274336,0.019469026548672563,0.01994208148448715,0.03453237410071943,0.05634218289085546,0.09734513274336283,0.02481387835370136,0.027075300820851557,0.033453237410071945,0.0760921477735637,0.1504424778761062,0.02804412892908468,0.03446321501520233
temporal,validation,selected_cross_encoder,relevance_grade,2,139,101,38,0.02158273381294964,0.0,0.0,0.0,0.0,0.03597122302158273,0.034653465346534656,0.039603960396039604,0.0165016501650165,0.01979969900759017,0.03597122302158274,0.04455445544554455,0.04950495049504951,0.01848184818481848,0.022940056237544592,0.03453237410071943,0.054455445544554455,0.0594059405940594,0.019896275341819897,0.02748693166097172,0.033453237410071945,0.07384488448844884,0.1188118811881188,0.023573785950023574,0.034762885360877516
temporal,test,phase12_baseline,relevance_grade,1,139,110,29,0.02877697841726619,0.0015151515151515152,0.00909090909090909,0.00909090909090909,0.0030303030303030303,0.026378896882494,0.00446969696969697,0.02727272727272727,0.016666666666666666,0.00584258632573745,0.031654676258992806,0.00547979797979798,0.03636363636363636,0.018484848484848482,0.005370135437757484,0.0316546762589928,0.043459595959595955,0.1,0.027662337662337663,0.018512959544995218,0.030575539568345324,0.04627344877344877,0.10909090909090909,0.02831168831168831,0.019039833829848758
temporal,test,phase12_baseline,conservative_relevance_grade,1,139,110,29,0.02877697841726619,0.0015151515151515152,0.00909090909090909,0.00909090909090909,0.0030303030303030303,0.026378896882494,0.00446969696969697,0.02727272727272727,0.016666666666666666,0.005168475779107486,0.031654676258992806,0.00547979797979798,0.03636363636363636,0.018484848484848482,0.004817297381213104,0.0316546762589928,0.043459595959595955,0.1,0.027662337662337663,0.017595984634448728,0.030575539568345324,0.04627344877344877,0.10909090909090909,0.02831168831168831,0.018293966744250587
temporal,test,phase12_baseline,event_hierarchy_relevance_grade,1,139,110,29,0.02877697841726619,0.0015151515151515152,0.00909090909090909,0.00909090909090909,0.0030303030303030303,0.026378896882494,0.00446969696969697,0.02727272727272727,0.016666666666666666,0.006843258487410804,0.031654676258992806,0.00547979797979798,0.03636363636363636,0.018484848484848482,0.006257120852496924,0.0316546762589928,0.043459595959595955,0.1,0.027662337662337663,0.01871877088991228,0.030575539568345324,0.04627344877344877,0.10909090909090909,0.02831168831168831,0.019534920296046785
temporal,test,phase12_baseline,relevance_grade,2,139,96,43,0.02877697841726619,0.0,0.0,0.0,0.003472222222222222,0.026378896882494,0.005208333333333333,0.020833333333333332,0.008680555555555554,0.006694630164907495,0.031654676258992806,0.005208333333333333,0.020833333333333332,0.008680555555555554,0.006153280189097117,0.0316546762589928,0.04114583333333333,0.07291666666666667,0.015277777777777779,0.017740543923084797,0.030575539568345324,0.04114583333333333,0.07291666666666667,0.015277777777777779,0.018344254041146143
