slice_family,slice_name,split,system,system_label,global_queries,queries,eligible_queries,no_positive_queries,support_flag,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10
pharmacotherapy_sub_intent,Comparative Treatment Choice,test,bm25,BM25,23,5,5,0,sparse,0.02,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Comparative Treatment Choice,test,bm25_structured,BM25 + structure,23,5,5,0,sparse,0.04,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Comparative Treatment Choice,test,hybrid,Hybrid without intent,23,5,5,0,sparse,0.02,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Comparative Treatment Choice,test,hybrid_intent,Hybrid + predicted intent,23,5,5,0,sparse,0.04,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Dosing / Administration,validation,bm25,BM25,96,26,21,5,adequate,0.03461538461538462,0.02976190476190476,0.09523809523809523,0.016666666666666666,0.005043528278306629
pharmacotherapy_sub_intent,Dosing / Administration,validation,bm25_structured,BM25 + structure,96,26,21,5,adequate,0.03076923076923077,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.0065574179137187286
pharmacotherapy_sub_intent,Dosing / Administration,validation,hybrid,Hybrid without intent,96,26,21,5,adequate,0.03461538461538462,0.023809523809523808,0.047619047619047616,0.015873015873015872,0.0065574179137187286
pharmacotherapy_sub_intent,Dosing / Administration,validation,hybrid_intent,Hybrid + predicted intent,96,26,21,5,adequate,0.023076923076923075,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Dosing / Administration,test,bm25,BM25,96,29,22,7,adequate,0.031034482758620686,0.005681818181818182,0.045454545454545456,0.009090909090909092,0.007890154093655836
pharmacotherapy_sub_intent,Dosing / Administration,test,bm25_structured,BM25 + structure,96,29,22,7,adequate,0.03793103448275863,0.05113636363636364,0.09090909090909091,0.016414141414141412,0.022467154088592872
pharmacotherapy_sub_intent,Dosing / Administration,test,hybrid,Hybrid without intent,96,29,22,7,adequate,0.03103448275862069,0.005681818181818182,0.045454545454545456,0.009090909090909092,0.007890154093655836
pharmacotherapy_sub_intent,Dosing / Administration,test,hybrid_intent,Hybrid + predicted intent,96,29,22,7,adequate,0.02758620689655172,0.05113636363636364,0.09090909090909091,0.02727272727272727,0.026007597358783663
pharmacotherapy_sub_intent,Efficacy / Outcomes,validation,bm25,BM25,20,4,3,1,very_sparse,0.05,0.0,0.0,0.0,0.0
pharmacotherapy_sub_intent,Efficacy / Outcomes,validation,bm25_structured,BM25 + structure,20,4,3,1,very_sparse,0.025,0.0,0.0,0.0,0.0
