experiment,protocol,split,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20,experiment_family,source_file
R-B0,temporal,train,relevance_grade,1,340,245,95,0.05,0.0091950113378684,0.0408163265306122,0.0408163265306122,0.0279883381924198,0.042156862745098,0.0137074829931972,0.0693877551020408,0.0530612244897959,0.0227019228991753,0.0388235294117647,0.0200890832523485,0.0857142857142857,0.056938775510204,0.0229292818626405,0.0344117647058823,0.0354891480401684,0.1387755102040816,0.0642873339812115,0.0290729215640741,0.0351470588235294,0.0564625850340136,0.1918367346938775,0.0678863609169415,0.0349588190045878,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,train,relevance_grade,2,340,207,133,0.05,0.0107085346215781,0.0434782608695652,0.0434782608695652,0.0331262939958592,0.042156862745098,0.0170021470746108,0.072463768115942,0.0555555555555555,0.0268694256536132,0.0388235294117647,0.0199812130971551,0.0821256038647343,0.0577294685990338,0.0250579589288576,0.0344117647058823,0.0365788666513304,0.1304347826086956,0.0643949850471589,0.030875165359714,0.0351470588235294,0.0491526723410781,0.1642512077294686,0.0665467713023462,0.0353362151813509,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,train,conservative_relevance_grade,1,340,245,95,0.05,0.0091950113378684,0.0408163265306122,0.0408163265306122,0.0252672497570456,0.042156862745098,0.0137074829931972,0.0693877551020408,0.0530612244897959,0.0219366541131102,0.0388235294117647,0.0200890832523485,0.0857142857142857,0.056938775510204,0.0226917376242589,0.0344117647058823,0.0354891480401684,0.1387755102040816,0.0642873339812115,0.0278679874103388,0.0351470588235294,0.0564625850340136,0.1918367346938775,0.0678863609169415,0.0338987722700096,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,train,conservative_relevance_grade,2,340,168,172,0.05,0.0109126984126984,0.0357142857142857,0.0357142857142857,0.0249433106575963,0.042156862745098,0.0220238095238095,0.0654761904761904,0.0486111111111111,0.025547942493594,0.0388235294117647,0.0235119047619047,0.0714285714285714,0.0498015873015873,0.0248600700108987,0.0344117647058823,0.0410714285714285,0.1071428571428571,0.0544359410430839,0.0299439854880874,0.0351470588235294,0.0579365079365079,0.1428571428571428,0.0567371090514887,0.0356519303141133,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,train,event_hierarchy_relevance_grade,1,340,245,95,0.05,0.0091950113378684,0.0408163265306122,0.0408163265306122,0.0291545189504373,0.042156862745098,0.0137074829931972,0.0693877551020408,0.0530612244897959,0.0222063153356305,0.0388235294117647,0.0200890832523485,0.0857142857142857,0.056938775510204,0.0230832072400839,0.0344117647058823,0.0354891480401684,0.1387755102040816,0.0642873339812115,0.0286426001354678,0.0351470588235294,0.0564625850340136,0.1918367346938775,0.0678863609169415,0.0345617395154547,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,train,event_hierarchy_relevance_grade,2,340,146,194,0.05,0.0102739726027397,0.0273972602739726,0.0273972602739726,0.035225048923679,0.042156862745098,0.0253424657534246,0.0616438356164383,0.0422374429223744,0.0298501461537073,0.0388235294117647,0.0270547945205479,0.0684931506849315,0.043607305936073,0.0292630261486856,0.0344117647058823,0.0484018264840182,0.1095890410958904,0.0489399869536855,0.0348035171242775,0.0351470588235294,0.066324200913242,0.1438356164383561,0.0511598241140418,0.0411842129342075,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,validation,relevance_grade,1,139,113,26,0.0359712230215827,0.0,0.0,0.0,0.0,0.0383693045563549,0.0188053097345132,0.0265486725663716,0.0088495575221238,0.0092753122112705,0.0330935251798561,0.0327433628318584,0.0619469026548672,0.0163716814159292,0.0148773820079564,0.0381294964028776,0.0625368731563421,0.1150442477876106,0.0235075151004354,0.0239958963447866,0.0330935251798561,0.0665191740412979,0.1238938053097345,0.0239499929765416,0.0259195519255014,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,validation,relevance_grade,2,139,101,38,0.0359712230215827,0.0,0.0,0.0,0.0,0.0383693045563549,0.0099009900990099,0.0099009900990099,0.0033003300330033,0.0054268344541937,0.0330935251798561,0.028052805280528,0.0396039603960396,0.0092409240924092,0.011694496701971,0.0381294964028776,0.0528052805280528,0.0693069306930693,0.0134842055634134,0.0218963988808009,0.0330935251798561,0.058085808580858,0.0891089108910891,0.0147669249284673,0.0240486075998184,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,validation,conservative_relevance_grade,1,139,113,26,0.0359712230215827,0.0,0.0,0.0,0.0,0.0383693045563549,0.0188053097345132,0.0265486725663716,0.0088495575221238,0.0092753122112705,0.0330935251798561,0.0327433628318584,0.0619469026548672,0.0163716814159292,0.0143892129026315,0.0381294964028776,0.0625368731563421,0.1150442477876106,0.0235075151004354,0.0236558047783307,0.0330935251798561,0.0665191740412979,0.1238938053097345,0.0239499929765416,0.0256868443247415,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,validation,conservative_relevance_grade,2,139,79,60,0.0359712230215827,0.0,0.0,0.0,0.0,0.0383693045563549,0.0,0.0,0.0,0.0006089908844755,0.0330935251798561,0.0063291139240506,0.0126582278481012,0.0025316455696202,0.0030269398830736,0.0381294964028776,0.0316455696202531,0.0379746835443038,0.0061482820976491,0.0140381499485162,0.0330935251798561,0.0390295358649789,0.0632911392405063,0.0077882144504396,0.0169433077807241,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,validation,event_hierarchy_relevance_grade,1,139,113,26,0.0359712230215827,0.0,0.0,0.0,0.0,0.0383693045563549,0.0188053097345132,0.0265486725663716,0.0088495575221238,0.0096700566269741,0.0330935251798561,0.0327433628318584,0.0619469026548672,0.0163716814159292,0.0157055105957697,0.0381294964028776,0.0625368731563421,0.1150442477876106,0.0235075151004354,0.0249053357680452,0.0330935251798561,0.0665191740412979,0.1238938053097345,0.0239499929765416,0.026697080678579,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,validation,event_hierarchy_relevance_grade,2,139,76,63,0.0359712230215827,0.0,0.0,0.0,0.0,0.0383693045563549,0.0,0.0,0.0,0.001219952616422,0.0330935251798561,0.006578947368421,0.0131578947368421,0.0026315789473684,0.005103551185361,0.0381294964028776,0.0328947368421052,0.0394736842105263,0.006390977443609,0.0164501427338226,0.0330935251798561,0.0427631578947368,0.0657894736842105,0.0080956439682201,0.0191141845086952,phase9_bm25,outputs/retrieval/bm25_metrics.csv
R-B0,temporal,test,relevance_grade,1,139,110,29,0.0215827338129496,0.0018181818181818,0.009090909090909,0.009090909090909,0.0038961038961038,0.0359712230215827,0.0063636363636363,0.0181818181818181,0.0121212121212121,0.0067938307781627,0.0316546762589928,0.0090151515151515,0.0363636363636363,0.0162121212121212,0.0083409720233249,0.0287769784172661,0.0160858585858585,0.0636363636363636,0.0201623376623376,0.0102116695098396,0.0284172661870503,0.0471969696969697,0.1,0.0227435064935064,0.0177234010299849,phase9_bm25,outputs/retrieval/bm25_metrics.csv
