protocol,split,experiment,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,validation,BM25_E_C:legacy,relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.01264011063167655,0.04316546762589929,0.047050147492625365,0.07964601769911504,0.02300884955752212,0.022015841069882382,0.03597122302158273,0.07028023598820059,0.11504424778761062,0.027784801236128667,0.029661931289064036,0.03237410071942446,0.08089970501474926,0.1415929203539823,0.0296876181831934,0.03410558416580543
temporal,validation,BM25_E_C:legacy,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.01326545957967273,0.04316546762589929,0.047050147492625365,0.07964601769911504,0.02300884955752212,0.023109648955506212,0.03597122302158273,0.07028023598820059,0.11504424778761062,0.027784801236128667,0.029747491656174508,0.03237410071942446,0.08089970501474926,0.1415929203539823,0.0296876181831934,0.033825671913021854
temporal,validation,BM25_E_C:legacy,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.013792402450620245,0.04316546762589929,0.047050147492625365,0.07964601769911504,0.02300884955752212,0.024210718255146296,0.03597122302158273,0.07028023598820059,0.11504424778761062,0.027784801236128667,0.031015904697618977,0.03237410071942446,0.08089970501474926,0.1415929203539823,0.0296876181831934,0.035136006466044714
temporal,validation,BM25_E_C:legacy,relevance_grade,2,139,101,38,0.02158273381294964,0.0,0.0,0.0,0.0,0.02877697841726619,0.024752475247524754,0.0297029702970297,0.01155115511551155,0.014141905954251981,0.04316546762589929,0.03795379537953795,0.04950495049504951,0.016006600660066005,0.020367460225973424,0.03597122302158273,0.0627062706270627,0.07920792079207921,0.019935564985069935,0.02892199680783013,0.03237410071942446,0.08201320132013201,0.1188118811881188,0.022889541701422888,0.03389360844220417
temporal,validation,H_E_C:legacy,relevance_grade,1,139,113,26,0.007194244604316547,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.01264011063167655,0.03741007194244605,0.0364306784660767,0.061946902654867256,0.01902654867256637,0.017288385612399027,0.03597122302158274,0.06622418879056047,0.10619469026548672,0.024652338811630845,0.027269732282327007,0.03129496402877698,0.075,0.13274336283185842,0.02638537715971344,0.030346526465911048
temporal,validation,H_E_C:legacy,conservative_relevance_grade,1,139,113,26,0.007194244604316547,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.01326545957967273,0.03741007194244605,0.0364306784660767,0.061946902654867256,0.01902654867256637,0.01829246481109945,0.03597122302158274,0.06622418879056047,0.10619469026548672,0.024652338811630845,0.027854106021110107,0.03129496402877698,0.075,0.13274336283185842,0.02638537715971344,0.030196925140098398
temporal,validation,H_E_C:legacy,event_hierarchy_relevance_grade,1,139,113,26,0.007194244604316547,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.013792402450620245,0.03741007194244605,0.0364306784660767,0.061946902654867256,0.01902654867256637,0.018745652911155933,0.03597122302158274,0.06622418879056047,0.10619469026548672,0.024652338811630845,0.02896667594803763,0.03129496402877698,0.075,0.13274336283185842,0.02638537715971344,0.031309495067025926
temporal,validation,H_E_C:legacy,relevance_grade,2,139,101,38,0.007194244604316547,0.0,0.0,0.0,0.0,0.02877697841726619,0.024752475247524754,0.0297029702970297,0.01155115511551155,0.014141905954251981,0.03741007194244605,0.034653465346534656,0.039603960396039604,0.014026402640264024,0.019342451229713762,0.03597122302158274,0.059735973597359736,0.07920792079207921,0.019082979726544082,0.027386285852645773,0.03129496402877698,0.07211221122112212,0.10891089108910891,0.021351956624233854,0.030828639741210095
temporal,validation,H_E_C_I:legacy,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.028776978417266192,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.029496402877697846,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03146380400033533,0.027697841726618707,0.07389380530973451,0.12389380530973451,0.034798550688712064,0.037298753100784135
temporal,validation,H_E_C_I:legacy,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.028776978417266192,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.029496402877697846,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.031054012331314385,0.027697841726618707,0.07389380530973451,0.12389380530973451,0.034798550688712064,0.03738959554506362
