protocol,split,experiment,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,validation,legacy:hybrid,relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.033573141486810544,0.01327433628318584,0.017699115044247787,0.0058997050147492625,0.005643413948567198,0.03597122302158273,0.033343868520859674,0.05309734513274336,0.013421828908554572,0.014389601968513408,0.035251798561151085,0.06822587442056469,0.12389380530973451,0.023507515100435455,0.02545036472644607,0.03201438848920863,0.08629372102823431,0.1504424778761062,0.025515249641938045,0.03160926675234299
temporal,validation,legacy:hybrid,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.033573141486810544,0.01327433628318584,0.017699115044247787,0.0058997050147492625,0.0071378194370153025,0.03597122302158273,0.033343868520859674,0.05309734513274336,0.013421828908554572,0.016309923967196174,0.035251798561151085,0.06822587442056469,0.12389380530973451,0.023507515100435455,0.027151174480129842,0.03201438848920863,0.08629372102823431,0.1504424778761062,0.025515249641938045,0.033113659422824904
temporal,validation,legacy:hybrid,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.033573141486810544,0.01327433628318584,0.017699115044247787,0.0058997050147492625,0.0071378194370153025,0.03597122302158273,0.033343868520859674,0.05309734513274336,0.013421828908554572,0.01658364675545135,0.035251798561151085,0.06822587442056469,0.12389380530973451,0.023507515100435455,0.028248494812321986,0.03201438848920863,0.08629372102823431,0.1504424778761062,0.025515249641938045,0.03421097975501705
temporal,validation,legacy:hybrid,relevance_grade,2,139,101,38,0.02158273381294964,0.0,0.0,0.0,0.0,0.033573141486810544,0.009900990099009901,0.009900990099009901,0.0033003300330033,0.006313918576119736,0.03597122302158273,0.031683168316831684,0.039603960396039604,0.009240924092409241,0.016099257647940745,0.035251798561151085,0.059735973597359736,0.07920792079207921,0.01471004243281471,0.02517384040351557,0.03201438848920863,0.08399339933993401,0.12871287128712872,0.0181664407042208,0.03206449316516262
temporal,validation,legacy:intent_only,relevance_grade,1,139,113,26,0.02877697841726619,0.0,0.0,0.0,0.0,0.033573141486810544,0.022123893805309734,0.02654867256637168,0.010324483775811208,0.011226863095217263,0.031654676258992806,0.03274336283185841,0.04424778761061947,0.013864306784660767,0.015125141607436603,0.03453237410071943,0.05700589970501475,0.09734513274336283,0.02112305099030763,0.023578607500927596,0.03201438848920863,0.07094395280235988,0.1415929203539823,0.023727819027005305,0.02852577569938545
temporal,validation,legacy:intent_only,conservative_relevance_grade,1,139,113,26,0.02877697841726619,0.0,0.0,0.0,0.0,0.033573141486810544,0.022123893805309734,0.02654867256637168,0.010324483775811208,0.012721268583665369,0.031654676258992806,0.03274336283185841,0.04424778761061947,0.013864306784660767,0.0168365714595243,0.03453237410071943,0.05700589970501475,0.09734513274336283,0.02112305099030763,0.024991039271467994,0.03201438848920863,0.07094395280235988,0.1415929203539823,0.023727819027005305,0.029547287201577056
temporal,validation,legacy:intent_only,event_hierarchy_relevance_grade,1,139,113,26,0.02877697841726619,0.0,0.0,0.0,0.0,0.033573141486810544,0.022123893805309734,0.02654867256637168,0.010324483775811208,0.012721268583665369,0.031654676258992806,0.03274336283185841,0.04424778761061947,0.013864306784660767,0.0168365714595243,0.03453237410071943,0.05700589970501475,0.09734513274336283,0.02112305099030763,0.025842221350762123,0.03201438848920863,0.07094395280235988,0.1415929203539823,0.023727819027005305,0.03086284912807703
temporal,validation,legacy:intent_only,relevance_grade,2,139,101,38,0.02877697841726619,0.0,0.0,0.0,0.0,0.033573141486810544,0.019801980198019802,0.019801980198019802,0.00825082508250825,0.012560747819401492,0.031654676258992806,0.0297029702970297,0.0297029702970297,0.01023102310231023,0.01692218813505283,0.03453237410071943,0.04983498349834983,0.06930693069306931,0.01594766619519095,0.023079696180905798,0.03201438848920863,0.06716171617161716,0.10891089108910891,0.018333901484592713,0.028614646739576463
temporal,validation,legacy:signed_only,relevance_grade,1,139,113,26,0.0,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.01264011063167655,0.03884892086330936,0.0364306784660767,0.061946902654867256,0.01902654867256637,0.017288385612399027,0.035251798561151085,0.06733038348082596,0.11504424778761062,0.02612726506531816,0.02746224824666759,0.030935251798561155,0.07610619469026549,0.1415929203539823,0.028155288664138217,0.030566789470827888
temporal,validation,legacy:signed_only,conservative_relevance_grade,1,139,113,26,0.0,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.01326545957967273,0.03884892086330936,0.0364306784660767,0.061946902654867256,0.01902654867256637,0.01829246481109945,0.035251798561151085,0.06733038348082596,0.11504424778761062,0.02612726506531816,0.028095166954136396,0.030935251798561155,0.07610619469026549,0.1415929203539823,0.028155288664138217,0.03042195437633125
temporal,validation,legacy:signed_only,event_hierarchy_relevance_grade,1,139,113,26,0.0,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.013792402450620245,0.03884892086330936,0.0364306784660767,0.061946902654867256,0.01902654867256637,0.018745652911155933,0.035251798561151085,0.06733038348082596,0.11504424778761062,0.02612726506531816,0.02920773688106392,0.030935251798561155,0.07610619469026549,0.1415929203539823,0.028155288664138217,0.03167019229507931
temporal,validation,legacy:signed_only,relevance_grade,2,139,101,38,0.0,0.0,0.0,0.0,0.0,0.02877697841726619,0.024752475247524754,0.0297029702970297,0.01155115511551155,0.014141905954251981,0.03884892086330936,0.034653465346534656,0.039603960396039604,0.014026402640264024,0.019342451229713762,0.035251798561151085,0.059735973597359736,0.07920792079207921,0.019082979726544082,0.0276016750008684,0.030935251798561155,0.07211221122112212,0.10891089108910891,0.021234087694483737,0.031075072608097255
temporal,validation,legacy:signed_plus_intent,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.031654676258992806,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.030215827338129497,0.05228613569321534,0.07964601769911504,0.031858407079646024,0.03140466863804215,0.028057553956834534,0.05958702064896755,0.10619469026548672,0.0335021823569455,0.03280159737957033
temporal,validation,legacy:signed_plus_intent,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.031654676258992806,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.030215827338129497,0.05228613569321534,0.07964601769911504,0.031858407079646024,0.031110094939619547,0.028057553956834534,0.05958702064896755,0.10619469026548672,0.0335021823569455,0.03305662515432789
temporal,validation,legacy:signed_plus_intent,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024546648125704375,0.031654676258992806,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024242076282001163,0.030215827338129497,0.05228613569321534,0.07964601769911504,0.031858407079646024,0.031681954652199855,0.028057553956834534,0.05958702064896755,0.10619469026548672,0.0335021823569455,0.03381521646368994
temporal,validation,legacy:signed_plus_intent,relevance_grade,2,139,101,38,0.02158273381294964,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.031175059952038366,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027522062008953418,0.031654676258992806,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027346786700108858,0.030215827338129497,0.04900990099009901,0.06930693069306931,0.03135313531353136,0.03227388841367203,0.028057553956834534,0.05066006600660067,0.07920792079207921,0.031848184818481846,0.03383678888686693
temporal,validation,legacy:all_terms_nonzero,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.031654676258992806,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.02949640287769784,0.05228613569321534,0.07964601769911504,0.031858407079646024,0.03140466863804215,0.028057553956834534,0.05958702064896755,0.10619469026548672,0.0335021823569455,0.03280159737957033
temporal,validation,legacy:all_terms_nonzero,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.031654676258992806,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.02949640287769784,0.05228613569321534,0.07964601769911504,0.031858407079646024,0.031110094939619547,0.028057553956834534,0.05958702064896755,0.10619469026548672,0.0335021823569455,0.03305662515432789
temporal,validation,legacy:all_terms_nonzero,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024546648125704375,0.031654676258992806,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024242076282001163,0.02949640287769784,0.05228613569321534,0.07964601769911504,0.031858407079646024,0.031681954652199855,0.028057553956834534,0.05958702064896755,0.10619469026548672,0.0335021823569455,0.03381521646368994
temporal,validation,legacy:all_terms_nonzero,relevance_grade,2,139,101,38,0.02158273381294964,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.031175059952038366,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027522062008953418,0.031654676258992806,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027346786700108858,0.02949640287769784,0.04900990099009901,0.06930693069306931,0.03135313531353136,0.03227388841367203,0.028057553956834534,0.05066006600660067,0.07920792079207921,0.031848184818481846,0.03383678888686693
temporal,validation,legacy:prior_signed_plus_intent,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.028057553956834538,0.05117994100294985,0.07079646017699115,0.031096361848574235,0.031150212810837245,0.02589928057553957,0.06209439528023599,0.10619469026548672,0.03324461052857721,0.03296641737143063
temporal,validation,legacy:prior_signed_plus_intent,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.028057553956834538,0.05117994100294985,0.07079646017699115,0.031096361848574235,0.030732563338748103,0.02589928057553957,0.06209439528023599,0.10619469026548672,0.03324461052857721,0.033115162297082466
temporal,validation,legacy:prior_signed_plus_intent,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024546648125704375,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024242076282001163,0.028057553956834538,0.05117994100294985,0.07079646017699115,0.031096361848574235,0.03130442305132841,0.02589928057553957,0.06209439528023599,0.10619469026548672,0.03324461052857721,0.03404739027223228
temporal,validation,legacy:prior_signed_plus_intent,relevance_grade,2,139,101,38,0.02158273381294964,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.031175059952038366,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027522062008953418,0.030215827338129504,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027346786700108858,0.028057553956834538,0.04702970297029703,0.0594059405940594,0.03025302530253025,0.031727813572662175,0.02589928057553957,0.05198019801980198,0.06930693069306931,0.03087183718371837,0.0337598048137221
temporal,validation,legacy:fixed_all_005_intent_020,relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.031175059952038373,0.023893805309734516,0.035398230088495575,0.014749262536873154,0.013077684994113284,0.03453237410071943,0.034955752212389384,0.05309734513274336,0.01828908554572271,0.017468182266408012,0.03237410071942446,0.05700589970501475,0.09734513274336283,0.02379196516364658,0.02475088518240993,0.02985611510791367,0.07654867256637168,0.13274336283185842,0.02571241351687391,0.03032732245885785
temporal,validation,legacy:fixed_all_005_intent_020,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.031175059952038373,0.023893805309734516,0.035398230088495575,0.014749262536873154,0.014951072836208364,0.03453237410071943,0.034955752212389384,0.05309734513274336,0.01828908554572271,0.018597451954215603,0.03237410071942446,0.05700589970501475,0.09734513274336283,0.02379196516364658,0.026173084669724792,0.02985611510791367,0.07654867256637168,0.13274336283185842,0.02571241351687391,0.031775353381797274
temporal,validation,legacy:fixed_all_005_intent_020,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.0,0.0,0.0,0.0,0.031175059952038373,0.023893805309734516,0.035398230088495575,0.014749262536873154,0.014951072836208364,0.03453237410071943,0.034955752212389384,0.05309734513274336,0.01828908554572271,0.01894808613163988,0.03237410071942446,0.05700589970501475,0.09734513274336283,0.02379196516364658,0.027007829762024028,0.02985611510791367,0.07654867256637168,0.13274336283185842,0.02571241351687391,0.0326100984740965
temporal,validation,legacy:fixed_all_005_intent_020,relevance_grade,2,139,101,38,0.02158273381294964,0.0,0.0,0.0,0.0,0.031175059952038373,0.019801980198019802,0.019801980198019802,0.009900990099009901,0.014631469349849515,0.03453237410071943,0.034653465346534656,0.039603960396039604,0.01386138613861386,0.019543609862416884,0.03237410071942446,0.04983498349834983,0.06930693069306931,0.01768033946251768,0.024568169790362308,0.02985611510791367,0.07211221122112212,0.10891089108910891,0.02004051951481679,0.030807154069952564
temporal,validation,legacy:r_e7_equivalent,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.028776978417266192,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.029496402877697846,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03146380400033533,0.027697841726618707,0.07389380530973451,0.12389380530973451,0.034798550688712064,0.037298753100784135
temporal,validation,legacy:r_e7_equivalent,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.028776978417266192,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.029496402877697846,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.031054012331314385,0.027697841726618707,0.07389380530973451,0.12389380530973451,0.034798550688712064,0.03738959554506362
temporal,validation,legacy:r_e7_equivalent,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024546648125704375,0.028776978417266192,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024242076282001163,0.029496402877697846,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03162587204389469,0.027697841726618707,0.07389380530973451,0.12389380530973451,0.034798550688712064,0.03804850544632918
temporal,validation,legacy:r_e7_equivalent,relevance_grade,2,139,101,38,0.02158273381294964,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.031175059952038366,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027522062008953418,0.028776978417266192,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027346786700108858,0.029496402877697846,0.04702970297029703,0.0594059405940594,0.030567342448530564,0.03207866312130855,0.027697841726618707,0.07178217821782178,0.0891089108910891,0.03246503221750746,0.03860687350101861
temporal,validation,legacy:all_terms_minus_entity_bonus,relevance_grade,1,139,113,26,0.014388489208633094,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.033573141486810544,0.030530973451327437,0.04424778761061947,0.022123893805309734,0.020963184479603096,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.022123893805309734,0.020822747043518594,0.02589928057553957,0.041961651917404134,0.07079646017699115,0.025319567354965582,0.02499196467947638,0.026618705035971225,0.06002949852507374,0.10619469026548672,0.027405431199028284,0.02950299253176606
temporal,validation,legacy:all_terms_minus_entity_bonus,conservative_relevance_grade,1,139,113,26,0.014388489208633094,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.033573141486810544,0.030530973451327437,0.04424778761061947,0.022123893805309734,0.020473110292798143,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.022123893805309734,0.020268774899771587,0.02589928057553957,0.041961651917404134,0.07079646017699115,0.025319567354965582,0.02484865819173413,0.026618705035971225,0.06002949852507374,0.10619469026548672,0.027405431199028284,0.0301982587313478
temporal,validation,legacy:all_terms_minus_entity_bonus,event_hierarchy_relevance_grade,1,139,113,26,0.014388489208633094,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.033573141486810544,0.030530973451327437,0.04424778761061947,0.022123893805309734,0.02100005316374566,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.022123893805309734,0.02072196299982807,0.02589928057553957,0.041961651917404134,0.07079646017699115,0.025319567354965582,0.025301846291790612,0.026618705035971225,0.06002949852507374,0.10619469026548672,0.027405431199028284,0.0307563492833859
temporal,validation,legacy:all_terms_minus_entity_bonus,relevance_grade,2,139,101,38,0.014388489208633094,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.033573141486810544,0.034653465346534656,0.039603960396039604,0.02145214521452145,0.023453859863318317,0.030215827338129504,0.034653465346534656,0.039603960396039604,0.02145214521452145,0.02329673679126338,0.02589928057553957,0.03910891089108911,0.0594059405940594,0.023927392739273926,0.024980812011057917,0.026618705035971225,0.055610561056105616,0.0891089108910891,0.025711026985051445,0.030027803568570134
temporal,validation,legacy:all_terms_minus_entity_penalty,relevance_grade,1,139,113,26,0.014388489208633094,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.033573141486810544,0.030530973451327437,0.04424778761061947,0.022123893805309734,0.020963184479603096,0.030215827338129504,0.030530973451327437,0.04424778761061947,0.022123893805309734,0.020822747043518594,0.02589928057553957,0.041961651917404134,0.07079646017699115,0.025319567354965582,0.02499196467947638,0.026618705035971225,0.06002949852507374,0.10619469026548672,0.027405431199028284,0.02950299253176606
