round,stage,epoch,loss,train_macro_f1,selection_macro_f1,mean_semantic_attention,mean_sentence_tfidf_attention,mean_class_centroid_attention
0,validation_selection,1,2.3824830055236816,0.5814226305392832,0.6323697077025556,0.4158709645271301,0.3008505403995514,0.2832784950733185
0,validation_selection,2,2.222620964050293,0.821798817487366,0.8431443622831183,0.38561123609542847,0.3191949427127838,0.2951938211917877
0,validation_selection,3,2.064209222793579,0.8800879744618402,0.9242578041951084,0.34490761160850525,0.3424108028411865,0.3126815855503082
0,validation_selection,4,1.8691635131835938,0.8879171606704223,0.9312737767283221,0.3014516532421112,0.36647918820381165,0.33206912875175476
0,validation_selection,5,1.6414198875427246,0.8901994500152224,0.9134166338711793,0.2611891031265259,0.38795602321624756,0.35085487365722656
0,validation_selection,6,1.3911076784133911,0.9124279180746903,0.9499736374736375,0.22606228291988373,0.4056033194065094,0.3683343827724457
0,validation_selection,7,1.116296648979187,0.9126764543773539,0.9575626393808211,0.19856895506381989,0.4164848029613495,0.3849462568759918
0,validation_selection,8,0.8807293176651001,0.9165901507438804,0.9575626393808211,0.1809130162000656,0.41858619451522827,0.4005008339881897
0,validation_selection,9,0.6577198505401611,0.9285749139481557,0.9646464646464646,0.16877418756484985,0.41480156779289246,0.4164242446422577
0,validation_selection,10,0.482779860496521,0.9312333090040599,0.9754689754689756,0.15847395360469818,0.4075905680656433,0.4339354634284973
0,validation_selection,11,0.3521164059638977,0.9312333090040599,0.9754689754689756,0.14687329530715942,0.399901807308197,0.45322489738464355
0,validation_selection,12,0.27930277585983276,0.9350687374042852,0.9754689754689756,0.13559070229530334,0.3912772834300995,0.47313201427459717
0,validation_selection,13,0.20361880958080292,0.9566364405801026,0.9754689754689756,0.1266794353723526,0.3811917006969452,0.49212881922721863
0,validation_selection,14,0.15329097211360931,0.9616224566162299,0.9754689754689756,0.12105181068181992,0.3711117208003998,0.5078365206718445
0,validation_selection,15,0.12768839299678802,0.9830558381710456,0.9949141767323585,0.11827747523784637,0.3620108664035797,0.5197116136550903
0,validation_selection,16,0.10486235469579697,0.980798125606488,0.9897727272727272,0.11789796501398087,0.3540510833263397,0.52805095911026
0,validation_selection,17,0.10608888417482376,0.980798125606488,0.9897727272727272,0.11950458586215973,0.3477051556110382,0.5327903032302856
0,validation_selection,18,0.0784037858247757,0.9833489801644564,0.9949141767323585,0.12407929450273514,0.3420523703098297,0.5338683128356934
0,validation_selection,19,0.0712263286113739,0.9868771024115908,0.9949141767323585,0.13178840279579163,0.3372873067855835,0.5309243202209473
0,validation_selection,20,0.049419015645980835,0.9907041222539577,0.9911845730027548,0.1410735845565796,0.3320690095424652,0.5268573760986328
0,validation_selection,21,0.05930208042263985,0.9756397306397306,0.9761518932641927,0.15193964540958405,0.3265168368816376,0.5215435028076172
0,validation_selection,22,0.06918342411518097,0.9756397306397306,0.9761518932641927,0.16441704332828522,0.3213483691215515,0.5142346024513245
0,validation_selection,23,0.0517914853990078,0.9873344023683237,0.9911845730027548,0.17971119284629822,0.3155507445335388,0.5047380924224854
0,validation_selection,24,0.04995596781373024,0.9886054252263574,0.9911845730027548,0.19333787262439728,0.3105347156524658,0.4961274266242981
0,validation_selection,25,0.037909094244241714,0.9886054252263574,0.9911845730027548,0.207788348197937,0.30450987815856934,0.4877017140388489
0,validation_selection,26,0.043587543070316315,0.9908641418318838,0.9949141767323585,0.21946632862091064,0.29963454604148865,0.4808991253376007
0,validation_selection,27,0.03113340586423874,0.9950373453902188,0.9949141767323585,0.23187707364559174,0.29449760913848877,0.4736253619194031
0,validation_selection,28,0.029390227049589157,0.9950373453902188,0.9949141767323585,0.24362796545028687,0.28985291719436646,0.4665191173553467
0,validation_selection,29,0.03259436786174774,0.9950373453902188,0.9949141767323585,0.24977844953536987,0.28790992498397827,0.46231162548065186
0,validation_selection,30,0.018437344580888748,0.9963208134015414,0.9949141767323585,0.2535926103591919,0.28714653849601746,0.45926085114479065
0,validation_selection,31,0.025625644251704216,0.9963208134015414,0.9949141767323585,0.23925304412841797,0.2934075593948364,0.4673393666744232
0,validation_selection,32,0.016316603869199753,0.9963208134015414,0.9949141767323585,0.22587932646274567,0.29902639985084534,0.4750942289829254
0,validation_selection,33,0.0229810643941164,0.9952555861646771,0.9911845730027548,0.2163573056459427,0.30290234088897705,0.4807403087615967
0,validation_selection,34,0.015309031121432781,0.9952555861646771,0.9911845730027548,0.2089347094297409,0.30616462230682373,0.4849006235599518
0,validation_selection,35,0.02019922435283661,0.9952555861646771,0.9911845730027548,0.2053770124912262,0.3080325424671173,0.4865904152393341
0,validation_selection,36,0.017489150166511536,0.9952555861646771,0.9911845730027548,0.204141765832901,0.30885645747184753,0.48700180649757385
0,validation_selection,37,0.01152663305401802,0.9976012071344743,0.9911845730027548,0.20464251935482025,0.30942049622535706,0.4859369695186615
0,validation_selection,38,0.011881446465849876,0.9976012071344743,0.9911845730027548,0.20796342194080353,0.3094560503959656,0.4825804829597473
0,validation_selection,39,0.009547517634928226,0.9976012071344743,0.9911845730027548,0.21374332904815674,0.3084031045436859,0.47785359621047974
0,validation_selection,40,0.007580178789794445,0.9976012071344743,0.9911845730027548,0.22124111652374268,0.3066243827342987,0.47213447093963623
0,validation_selection,41,0.006758719217032194,0.9976012071344743,0.9911845730027548,0.229184091091156,0.30467158555984497,0.46614429354667664
0,validation_selection,42,0.008661443367600441,0.9976012071344743,0.9911845730027548,0.23653310537338257,0.30252164602279663,0.4609452784061432
0,validation_selection,43,0.008890051394701004,0.9976012071344743,0.9911845730027548,0.23873670399188995,0.3019755482673645,0.4592877924442291
