protocol,split,configuration,scheme,threshold,queries,positive_queries,no_positive_queries,judged_fraction@1,recall@1,hit_rate@1,mrr@1,ndcg@1,judged_fraction@3,recall@3,hit_rate@3,mrr@3,ndcg@3,judged_fraction@5,recall@5,hit_rate@5,mrr@5,ndcg@5,judged_fraction@10,recall@10,hit_rate@10,mrr@10,ndcg@10,judged_fraction@20,recall@20,hit_rate@20,mrr@20,ndcg@20
temporal,validation,without_intent,relevance_grade,1,139,113,26,0.007194244604316547,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.01264011063167655,0.03741007194244605,0.0364306784660767,0.061946902654867256,0.01902654867256637,0.017288385612399027,0.03597122302158274,0.06622418879056047,0.10619469026548672,0.024652338811630845,0.027269732282327007,0.03129496402877698,0.075,0.13274336283185842,0.02638537715971344,0.030346526465911048
temporal,validation,without_intent,conservative_relevance_grade,1,139,113,26,0.007194244604316547,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.01326545957967273,0.03741007194244605,0.0364306784660767,0.061946902654867256,0.01902654867256637,0.01829246481109945,0.03597122302158274,0.06622418879056047,0.10619469026548672,0.024652338811630845,0.027854106021110107,0.03129496402877698,0.075,0.13274336283185842,0.02638537715971344,0.030196925140098398
temporal,validation,without_intent,event_hierarchy_relevance_grade,1,139,113,26,0.007194244604316547,0.0,0.0,0.0,0.0,0.02877697841726619,0.024336283185840708,0.035398230088495575,0.013274336283185839,0.013792402450620245,0.03741007194244605,0.0364306784660767,0.061946902654867256,0.01902654867256637,0.018745652911155933,0.03597122302158274,0.06622418879056047,0.10619469026548672,0.024652338811630845,0.02896667594803763,0.03129496402877698,0.075,0.13274336283185842,0.02638537715971344,0.031309495067025926
temporal,validation,without_intent,relevance_grade,2,139,101,38,0.007194244604316547,0.0,0.0,0.0,0.0,0.02877697841726619,0.024752475247524754,0.0297029702970297,0.01155115511551155,0.014141905954251981,0.03741007194244605,0.034653465346534656,0.039603960396039604,0.014026402640264024,0.019342451229713762,0.03597122302158274,0.059735973597359736,0.07920792079207921,0.019082979726544082,0.027386285852645773,0.03129496402877698,0.07211221122112212,0.10891089108910891,0.021351956624233854,0.030828639741210095
temporal,validation,with_assisted_intent,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.028776978417266192,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.029496402877697846,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03146380400033533,0.027697841726618707,0.07389380530973451,0.12389380530973451,0.034798550688712064,0.037298753100784135
temporal,validation,with_assisted_intent,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.028776978417266192,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.029496402877697846,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.031054012331314385,0.027697841726618707,0.07389380530973451,0.12389380530973451,0.034798550688712064,0.03738959554506362
temporal,validation,with_assisted_intent,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.031175059952038366,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024546648125704375,0.028776978417266192,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024242076282001163,0.029496402877697846,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03162587204389469,0.027697841726618707,0.07389380530973451,0.12389380530973451,0.034798550688712064,0.03804850544632918
temporal,validation,with_assisted_intent,relevance_grade,2,139,101,38,0.02158273381294964,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.031175059952038366,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027522062008953418,0.028776978417266192,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027346786700108858,0.029496402877697846,0.04702970297029703,0.0594059405940594,0.030567342448530564,0.03207866312130855,0.027697841726618707,0.07178217821782178,0.0891089108910891,0.03246503221750746,0.03860687350101861
temporal,validation,with_predicted_hard_intent,relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.03597122302158273,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024599365158445092,0.03309352517985612,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024442703156734465,0.030215827338129497,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03146380400033533,0.02877697841726619,0.07389380530973451,0.12389380530973451,0.03465105806334333,0.0377562487860975
temporal,validation,with_predicted_hard_intent,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.03597122302158273,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.023881720254278073,0.03309352517985612,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.02367021656942085,0.030215827338129497,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.031054012331314385,0.02877697841726619,0.07389380530973451,0.12389380530973451,0.03465105806334333,0.03753449278961225
temporal,validation,with_predicted_hard_intent,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.017699115044247787,0.03597122302158273,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024546648125704375,0.03309352517985612,0.030530973451327437,0.04424778761061947,0.028023598820058997,0.024242076282001163,0.030215827338129497,0.05117994100294985,0.07079646017699115,0.031500210703750524,0.03162587204389469,0.02877697841726619,0.07389380530973451,0.12389380530973451,0.03465105806334333,0.03857469312247562
temporal,validation,with_predicted_hard_intent,relevance_grade,2,139,101,38,0.02158273381294964,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.03597122302158273,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027522062008953418,0.03309352517985612,0.034653465346534656,0.039603960396039604,0.02805280528052805,0.027346786700108858,0.030215827338129497,0.04702970297029703,0.0594059405940594,0.030567342448530564,0.03207866312130855,0.02877697841726619,0.07178217821782178,0.0891089108910891,0.0323000157158573,0.03911872510933949
temporal,validation,with_predicted_soft_intent,relevance_grade,1,139,113,26,0.02158273381294964,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.031175059952038366,0.024336283185840708,0.035398230088495575,0.019174041297935103,0.017064889392738498,0.03597122302158273,0.0364306784660767,0.061946902654867256,0.02492625368731563,0.021713164373460974,0.03381294964028777,0.06474926253687316,0.09734513274336283,0.029656552886641385,0.030838493506797248,0.029496402877697846,0.07684365781710914,0.13274336283185842,0.03190258971752986,0.036178456262924666
temporal,validation,with_predicted_soft_intent,conservative_relevance_grade,1,139,113,26,0.02158273381294964,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.031175059952038366,0.024336283185840708,0.035398230088495575,0.019174041297935103,0.017690238340734677,0.03597122302158273,0.0364306784660767,0.061946902654867256,0.02492625368731563,0.0227172435721614,0.03381294964028777,0.06474926253687316,0.09734513274336283,0.029656552886641385,0.03191321609226363,0.029496402877697846,0.07684365781710914,0.13274336283185842,0.03190258971752986,0.03617527576105297
temporal,validation,with_predicted_soft_intent,event_hierarchy_relevance_grade,1,139,113,26,0.02158273381294964,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.008849557522123894,0.031175059952038366,0.024336283185840708,0.035398230088495575,0.019174041297935103,0.018217181211682188,0.03597122302158273,0.0364306784660767,0.061946902654867256,0.02492625368731563,0.02317043167221788,0.03381294964028777,0.06474926253687316,0.09734513274336283,0.029656552886641385,0.03296296168232155,0.029496402877697846,0.07684365781710914,0.13274336283185842,0.03190258971752986,0.03702864501011838
temporal,validation,with_predicted_soft_intent,relevance_grade,2,139,101,38,0.02158273381294964,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.031175059952038366,0.024752475247524754,0.0297029702970297,0.01815181518151815,0.01909240100375693,0.03597122302158273,0.034653465346534656,0.039603960396039604,0.020627062706270623,0.024292946279218713,0.03381294964028777,0.057755775577557754,0.06930693069306931,0.024681753889674682,0.03137905831170654,0.029496402877697846,0.08201320132013201,0.1188118811881188,0.028019729089909635,0.03735347208836395
